epoch,lr,train_loss,train_cls,train_reg,train_mean_dist,val_mean_dist,val_median_dist,val_success_1A,val_success_2A,val_success_5A
146,0.000998907908313314,5.155182,4.820102,0.16754,0.8441,0.7357,0.5335,0.757,0.9579,1.0
147,0.000998801465744394,5.113824,4.790123,0.16185,0.8308,0.7556,0.5696,0.729,0.9579,1.0
148,0.0009986900804552878,5.161587,4.826351,0.167618,0.8403,0.7419,0.6198,0.771,0.972,1.0
149,0.0009985737535497337,5.134504,4.796602,0.168951,0.8436,0.7337,0.5934,0.7617,0.9533,1.0
150,0.0009984524861804376,5.173971,4.843084,0.165444,0.8389,0.7467,0.5418,0.743,0.9533,1.0
151,0.0009983262795490613,5.169654,4.828121,0.170767,0.8472,0.7335,0.569,0.7617,0.9673,1.0
152,0.0009981951349062107,5.143829,4.80378,0.170024,0.8506,0.8349,0.6911,0.7103,0.9439,1.0
153,0.0009980590535514234,5.10737,4.776736,0.165317,0.8358,0.7421,0.556,0.7523,0.9673,1.0
154,0.0009979180368331559,5.078683,4.744806,0.166939,0.8402,0.7276,0.5763,0.771,0.9579,1.0
155,0.00099777208614877,5.135638,4.80749,0.164074,0.8352,0.7496,0.6236,0.785,0.9673,1.0
156,0.0009976212029445194,5.098397,4.7669,0.165749,0.8462,0.7189,0.5853,0.7944,0.9626,1.0
157,0.000997465388715535,5.128324,4.794907,0.166708,0.8366,0.7983,0.5779,0.715,0.9439,1.0
158,0.00099730464500581,5.121296,4.796951,0.162173,0.8348,0.6924,0.5404,0.7804,0.9766,1.0
159,0.0009971389734081848,5.120694,4.783778,0.168458,0.8487,0.7248,0.5553,0.7664,0.9579,1.0
160,0.0009969683755643318,5.132812,4.791027,0.170893,0.851,0.7612,0.5625,0.7664,0.9393,1.0
161,0.0009967928531647372,5.10628,4.770684,0.167798,0.8498,0.7322,0.572,0.7617,0.9626,1.0
162,0.0009966124079486872,5.144573,4.809164,0.167704,0.8428,0.7121,0.5572,0.7617,0.9766,1.0
163,0.000996427041704248,5.130982,4.794655,0.168163,0.8448,0.7317,0.5979,0.7757,0.9673,1.0
164,0.0009962367562682496,5.125528,4.794004,0.165762,0.8406,0.7789,0.6471,0.7383,0.9579,1.0
165,0.000996041553526267,5.132747,4.794516,0.169115,0.841,0.7983,0.6162,0.7009,0.9486,1.0
166,0.0009958414354126022,5.117144,4.777537,0.169803,0.8527,0.7694,0.6045,0.7383,0.9626,1.0
167,0.000995636403910264,5.131695,4.795332,0.168181,0.8468,0.7479,0.5753,0.7243,0.972,1.0
168,0.0009954264610509496,5.085135,4.758868,0.163134,0.829,0.7285,0.5773,0.771,0.972,1.0
169,0.0009952116089150232,5.115593,4.79067,0.162461,0.8337,0.7835,0.5871,0.7336,0.9673,1.0
170,0.000994991849631496,5.126197,4.797684,0.164257,0.8374,0.78,0.6213,0.7056,0.9439,1.0
171,0.0009947671853780054,5.111394,4.774368,0.168513,0.8456,0.7569,0.5781,0.729,0.9579,1.0
172,0.000994537618380793,5.134725,4.800288,0.167218,0.8404,0.7819,0.6453,0.729,0.9673,1.0
173,0.0009943031509146824,5.15197,4.817873,0.167048,0.8457,0.6866,0.5465,0.7757,0.9766,1.0
174,0.0009940637853030573,5.113496,4.785967,0.163764,0.836,0.761,0.5469,0.7336,0.9579,1.0
175,0.0009938195239178375,5.082515,4.748962,0.166776,0.8411,0.7706,0.5848,0.7477,0.9533,1.0
176,0.0009935703691794564,5.091553,4.75639,0.167581,0.8459,0.7759,0.6128,0.7617,0.972,1.0
177,0.0009933163235568369,5.08997,4.756372,0.166799,0.8366,0.7633,0.5888,0.743,0.9486,1.0
178,0.0009930573895673657,5.114007,4.777932,0.168037,0.8339,0.7293,0.5447,0.7617,0.9673,1.0
